rank_by_lowest_hf,address,hf,is_hf_below_1,total_debt_usd,collateral_usd,available_borrows_usd,liquidation_threshold,ltv,weth_debt_events_tokens,weth_debt_events_usd,weth_debt_share_of_total_debt,weth_share_for_model,is_material_debt_ge_100k
1100,0xf1cd02607e4260438131daeaf9b77aba5958f2e1,1.3300624492612607,False,7752.42555998,12910.90741642,0.0,0.7986,0.4578,0.36150000000000004,843.0744183108751,0.10874975990263493,0.10874975990263493,False
1101,0xca308b4ab36272e3f67fc543c3dfe4e7e8ac2752,1.330919875585192,False,11771.35081549,20085.54456772,3292.8076103,0.78,0.75,5.061236198366113,11803.592707804855,1.0027390137988605,1.0,False
1102,0x191dc09def85abf9ab4f9f76d802708229bb2ccc,1.3323083988939741,False,22.4108294,36.67370922,0.0,0.8141,0.6095,0.0018016596391610172,4.201751458588812,0.18748754825597003,0.18748754825597003,False
1103,0x3cfd02386f817cc29164cb8f9692687b816d73c6,1.3324223923189786,False,2320.06681014,3926.52159897,128.11940681,0.7872,0.6235,0.7132802250997499,1663.4808046158273,0.7169969404956263,0.7169969404956263,False
1104,0x22d861994ee2b73b3a779c492672c6360db473aa,1.3326167775508002,False,2416.42703128,3879.7243417,0.0,0.83,0.0,0.98,2285.512945905,0.9458232821929434,0.9458232821929434,False
1105,0x1f97b9d83379c449f528e8de986cf3dafa8fdfac,1.3332745187703736,False,2799.22504816,4784.78901085,693.19245085,0.78,0.7299,0.49314271135004534,1150.0857662951237,0.4108586292663763,0.4108586292663763,False
1106,0x5de93b841fc870c20e449cc2876236a66def2fd6,1.3348172558355962,False,212264.57502866,298246.7553167,65104.90741587,0.95,0.93,90.0,209894.0460525,0.9888321969134984,0.9888321969134984,True
1107,0xaf55663e95e5d180cc92ca8c663fe9ce2bcaf316,1.3348188160139265,False,6609.78291461,10949.5478307,0.0,0.8057,0.2974,2.394779074969377,5584.998549413175,0.8449594520068605,0.8449594520068605,False
1108,0x6fb44d57afe38d2a49c424cffbeaf340ceb82557,1.33561489172725,False,12324.97373439,19909.13616549,0.0,0.8268,0.1245,0.33,769.6115021925,0.06244325698196633,0.06244325698196633,False
1109,0x34a2ea9a8335540e1c0d82dbf486d83ed303dfd5,1.3363314107904654,False,58639.11867254,99227.71138653,0.0,0.7897,0.1147,1.2260484141647958,2859.3362478366694,0.04876158292562577,0.04876158292562577,False
1110,0xd6dc27d44bbbd6c02274a1bf259c96a18a749192,1.3369153150813036,False,10132.93900659,14271.63780279,0.0,0.9492,0.0034,4.199986282941372,9795.023492128495,0.966651776523895,0.966651776523895,False
1111,0x356cfab9be5af2455a098fda12559ec3b29fbd16,1.3371372189345971,False,527461.98339322,904216.73021556,150700.56426845,0.78,0.75,99.0,230883.45065774999,0.43772529192047505,0.43772529192047505,True
1112,0xfebf7f926925e1ccefd9c305fadc6537f9c85e00,1.3380825713269098,False,164493.74509158,282187.45307607,46272.06361093,0.78,0.7469,70.5348033041252,164498.16947800096,1.0000268969888095,1.0,True
1113,0x8bde2109ae931acf87f6556ccb7264bad5b74785,1.3386360565936253,False,167.54666347,270.22169263,0.0,0.83,0.0,0.07,163.25092470750002,0.9743609411638976,0.9743609411638976,False
1114,0x36c3e37ec378a3534d02f826084b6696c7531859,1.3390991339058302,False,42108.50393271,67936.70017634,0.0,0.83,0.0,15.0,34982.34100875,0.830766656175966,0.830766656175966,False
1115,0xee3d529b37d06750883800ae40084579b0685fb5,1.3391232331816094,False,167343.77999834,287299.92785155,42385.16733329,0.78,0.73,0.02,46.643121345,0.0002787263520966401,0.0002787263520966401,True
1116,0x55b0cd20b2d2d545d14f8fa0c4b6a0a1135723d6,1.33981008595979,False,14472.86908413,23362.5252671,0.0,0.83,0.0,2.0,4664.3121345,0.32227971574859193,0.32227971574859193,False
1117,0xe733a79bde1e30bb87bccd5cffad2d0b0963a2c0,1.3407505099253358,False,202481.90238549,348048.35112051,58554.36095489,0.78,0.75,81.1983442739022,189367.2112490353,0.9352303046250197,0.9352303046250197,True
1118,0x2a2619553ed49c068b04acab26873cf2f05c87dc,1.3408739855196736,False,23190.56239029,39866.18181886,6709.07397385,0.78,0.75,10.0,23321.5606725,1.0056487755667731,1.0,False
1119,0xd48738c363a720a4f70f687435a24675367aed09,1.3425201269368114,False,8198.63139364,14036.81673089,1457.29483553,0.7841,0.6879,3.4376485753775103,8017.1329821399795,0.9778623525335197,0.9778623525335197,False
