address,rank_by_lowest_hf,hf,total_debt_usd,collateral_usd,usdc_debt_events_usd,usdc_share_for_model,is_material_debt_ge_100k,days_to_liq_current_observed_apr,days_to_liq_interim_u_current,days_to_liq_target_u_current,days_to_liq_interim_u_pinned,days_to_liq_target_u_pinned,hf_7d_interim_u_current,hf_30d_interim_u_current,hf_7d_target_u_current,hf_30d_target_u_current
0x65fa7715bc401d18d5d4120dc416e4aa344d6c93,6307,2.3555971494586756,166161.33767002,471577.31730812,165000.0,0.9930107828553577,True,2836.886460610752,985.0359813959728,814.453072370841,876.1789082556688,737.6833889719422,2.341318837463309,2.2950084536570357,2.3383415734710935,2.2825257239443606
0x841cf4ac4f98ebb329003ae7d077a0dec7ee58f9,6308,2.3556533210319355,59727.77796576,174538.29337597,10000.0,0.16742628539994703,False,inf,2138.5856816848263,1831.4399695864836,1945.9109750672542,1683.8619400563923,2.3505235664495125,2.3336957478663796,2.3500171080365866,2.3315097467057497
0xe2cb321379f5a8ecdeac7dd97f5fd1b8b09dd053,6309,2.3559839367707105,4111.4698552,11670.55052454,4000.0,0.9728880767399966,False,2854.681892418981,996.63618981207,824.3808752279035,886.7295632351768,746.8092105135336,2.3419254588195413,2.296311834232729,2.3390074196760504,2.2840688507610194
0x3496e754b64960b098ac80e5d4bcd4c95eceeca6,6310,2.3567326380447406,5693.78919062,16912.4325218,5487.936269,0.9638460584457317,False,2863.582379767801,1002.2317125701737,829.1635121020141,891.8145475133732,751.2031357234025,2.342769572552347,2.297458284565129,2.339877455024967,2.285320240431327
0xb7fb2b774eb5e2dad9c060fb367acbdc7fa7099b,6311,2.3567535484777022,13650302.92299038,41285178.46352265,13038996.402227,0.9552166333441734,True,2871.149601874937,1007.2897908777173,833.4975783151514,896.4185774698096,755.1891109239957,2.3428856903541653,2.297876510872886,2.3400191760509235,2.2858423084748423
0x5870ad176503e47817e086d45c7ce2b2bbe66123,6312,2.356778942948953,5023.8158156,14485.50031965,5003.0,0.9958565727001053,False,2836.127731130241,984.0215264586473,813.5678389062177,875.2444722427695,736.8631239673721,2.3424620394897264,2.296028832949286,2.3394748362264806,2.283505670076307
0xcab8ade607240f15777ebee405734b9ef3089b26,6313,2.356937506132424,3001.10186205,8769.80500355,2858.772925,0.9525744397916647,False,2873.728898115837,1008.9380626897811,834.9075218289447,897.9172344152541,756.484895865793,2.3430977582999546,2.2981777227814857,2.340238868970792,2.2861744277190215
0x97047a120a9579fda417f5817bc17b40142dafda,6314,2.357334812615871,25582.41785839,75419.35688454,19646.237521,0.7679585889711682,False,3049.4780080851947,1133.7240938172317,942.2039282860317,1011.7577866017596,855.30848465576,2.345534640349525,2.3071125995555573,2.34322487297643,2.29735215614717
0x500a959afdf062820ab9b91bfa47bdfc87368674,6315,2.358220027526839,1397.09121916,4223.90832475,547.901595,0.3921731004289222,False,3518.5214421249098,1559.1360355224033,1313.025252389481,1403.3275877230053,1198.7755363732433,2.3505843053344377,2.325581833721185,2.349399567970924,2.320508832316323
0xa0d94f1ba6f6875f350990edf6b53bc62a1e6732,6316,2.3587120439696183,652.2684604,1853.6306909,646.0,0.9903897539424857,False,2843.4950671594875,988.0244305746737,816.966891565622,878.8667303486837,739.977311455287,2.3444438216126007,2.298164011022767,2.3414704060652407,2.285696280488597
0x80ff59441e24fe1a128322a06e9e9c731607f708,6317,2.358839044905458,8080.83833122,24437.68842468,7864.701647,0.973253185454167,False,2858.3959476522336,997.8283310827759,825.3603635892551,887.7856772382033,747.6938988497943,2.3447594936397462,2.2990777901749695,2.3418368332638058,2.2868155735135467
0xd4c992a64604cec52ff3f94570210f5930adaa28,6318,2.3589993488877057,1850.42991833,5596.36278526,1817.0,0.9819339722089176,False,2851.1390740322727,992.9446104031031,821.175466479245,883.3401868040412,743.845038550916,2.3448228670946096,2.298833731971313,2.341874212107901,2.2864661880452597
0x695865628c06f7630a4db3cf31a383ea6f3f9283,6319,2.359197805688166,121.50571484,345.36869377,115.51998,0.9507370097951189,False,2878.5520524993267,1011.143997266123,836.7645162327244,899.9022340297587,758.1799990483877,2.3453651066343864,2.3004664973643245,2.342508939276879,2.288473863730394
0x16aeb90c4165e85d0e42c856a5871682a8557a68,6320,2.359462299113039,1747.26208917,5131.33890322,1600.0,0.9157183744311915,False,2910.1997321764716,1032.517815704457,855.0911356588613,919.3658106475,775.039487993234,2.3460154489641054,2.3023424313392886,2.3432631430336928,2.2907717939607175
0x936461932ceea0f90c0dcc0184a15e698b5a9092,6321,2.3595940291830844,2562.37991835,7284.54982631,2500.0,0.9756554764173423,False,2857.3842477343296,996.819554069088,824.4853497579301,886.8601102889259,746.8850822670739,2.3454834046195963,2.2997028271399156,2.3425526678252884,2.2874077528217125
0xf7c5ada4b1e2811932ee9993862f79f770ae1666,6322,2.3596675889340997,291542.25101996,863660.90784314,31490.0,0.10801178865098386,True,inf,2443.149781733519,2110.9657622598343,2235.9881182190557,1947.8978650366419,2.355191393058214,2.3405079038403027,2.3548638953708148,2.339091346114255
0xd8bff4a639d1ef4261186c41227c9561613da7b6,6323,2.3597163687699005,0.16429573,0.46709798,0.163273,0.9937750664609482,False,2842.0187269025537,986.6141630723025,815.7452970892924,877.573942352566,738.8487748891829,2.345404637238166,2.298986489741722,2.3424198958417497,2.2864727421500515
0x4764501e1ba230e38ddc01fa49c8f733b8f0b0bb,6324,2.360529951744499,1110.62514995,3188.63710927,290.0,0.2611142022248062,False,inf,1835.830485878461,1558.326240923572,1660.8588130661155,1427.504148276806,2.354345602554701,2.334068363073237,2.35355490313937,2.3306668558057315
0x0abe725fe500b62a9f65b252235d2f9815053dfb,6325,2.3607713167249065,13481.64518429,40009.67669061,4625.2204,0.34307536927241744,False,3600.0605954943876,1650.312963455413,1393.4120977150176,1487.8813795781737,1273.5699071519925,2.3536736979359887,2.330420054600304,2.3526356140942055,2.3259672864441816
0xadc66a05218eb2608e136c7c50e47dd3f790777c,6326,2.360805901681316,4131.73363451,12505.41172888,4022.214422,0.9734931575464476,False,2860.9612820110424,998.6550490994638,826.0398375597921,888.518219369483,748.3076999825508,2.346711955307828,2.3009837402915294,2.343786144230947,2.288708407128163
0x46e4f1ec613faa131722fe26234b892f0a7e81fc,6327,2.3617938066746076,3181559.06190236,9276773.44193885,2802029.0,0.8807094086521762,True,2945.732566062448,1055.9940048170995,875.2106083114022,940.7370606002423,793.5446314285458,2.3487214724952934,2.306238951145651,2.3460707810547987,2.2950818903962626
0x22a77cdb9d21fd2fe58bf9eb5eab075457587941,6328,2.3618782678821613,8457.08500202,24065.78948904,7000.0,0.8277083650368927,False,2996.420798382409,1092.0108275874752,906.1793619744986,973.5946692352749,822.0678527467984,2.3493928374904436,2.308780626204952,2.3469001606449806,2.298269238377842
0xa2151a3a56a25eb9b16c6358a8f8f85f679eae80,6329,2.3619639137467305,11718.96947578,35147.22018721,11472.698086,0.9789852349825658,False,2857.8475365747213,996.0743032756061,823.8127593458053,886.1582646616782,746.2534557857242,2.347802257265642,2.301858818061379,2.3448586696867295,2.2895112620967137
0xe3bde8e6d80502e34bd6bdf1765566ddb92210c6,6330,2.362516885236964,1007.88994768,3052.76541007,1000.0,0.9921718162799804,False,2847.311675569545,988.8752600391172,817.6409699155464,879.6032206228764,740.5761551384888,2.348205917702007,2.301788927806849,2.3452224037858005,2.2892796292508075
0x779c31faa904efe1dd3747d04b68464d8d798886,6331,2.36305321136183,80364.47759907,243468.63701269,5000.0,0.062216543295963156,False,inf,2812.7378736189294,2459.7016434253974,2594.5780953117933,2280.6354098157585,2.359082065160226,2.3460592611994717,2.358893057429218,2.3452403904225734
0x40bd9ca0bbb04cb4c82175ece9764316ba66f2c6,6332,2.3634874084182833,51086.67787637,154797.65395123,44812.810202,0.8771917076003104,False,2951.466549765943,1059.160440928047,877.9035125784826,943.605239655402,796.013469705499,2.35044470181954,2.3080558823749473,2.3478026049704996,2.2969336326120944
0x5f32b6185ebcfcadba42ac28ca9d140ddb2c4177,6333,2.363619348067981,70649.99219789,202602.31661999,45500.0,0.6440198871155556,False,3193.977560109039,1243.7844169929735,1037.2682660119349,1112.4603109444201,943.0315800418151,2.353164174791673,2.319052592375085,2.3512194281868464,2.3107988457232156
0x1b81b5cda4e1a7536508537bf8023a654a1d53a9,6334,2.3647635363342023,5185.29831809,14773.49926221,2000.0,0.3857058701950823,False,3539.581585101666,1574.5600824932283,1326.377461014978,1417.4616581177922,1211.1054796412632,2.3571787019304953,2.3323409206695023,2.35601018747005,2.3273362403111646
0x679f465e5b5bf46be784d388877dbf8b54febd5f,6335,2.3648275280811824,31.1245711,90.53635605,30.0,0.9638687037200651,False,2874.9989075162307,1006.2026092846952,832.4466377817726,895.3465494683736,754.1767264964889,2.350816251327265,2.305348532026899,2.347914132494016,2.2931685226086396
0x24b5674da4dbdd75c446d7b654987b27466392c4,6336,2.364868142040888,7182.90454878,20465.80980088,6578.879886,0.9159080204006619,False,2917.758773232622,1035.1122796012764,857.2334463594768,921.6716028476296,776.9786848667426,2.351388380220647,2.307608616277675,2.3486292026827913,2.296009167453327
0x07e8f50bac50cd21f08fe1f3d11887117b3995e2,6337,2.3652896590461783,741.06129079,2298.21476454,700.0,0.9445912351646014,False,2892.62147395383,1017.8194454326983,842.3955688251149,905.9170760213301,763.3246523073598,2.351489388923377,2.3066911963540395,2.348644169818669,2.2947419765826402
0x356dea7f8d975471e49f384ab44a2a3ae575bd16,6338,2.3653183076881117,8335.41675223,25276.81262341,8101.11353,0.9718906409607755,False,2868.7045132462154,1001.7890842441288,828.6586239597118,891.3248988705639,750.6905628180491,2.3512151878781107,2.305455913251099,2.348288559780491,2.2931764677157687
0xb0031164d53d82e4429a993bc125374e36e21432,6339,2.365361046339455,33234.51222927,98277.19339255,8200.0,0.24673146828308704,False,inf,1878.3902970801435,1596.1249055359856,1700.519970550931,1462.7680983511598,2.359324576357269,2.3395300614534373,2.3585757855220755,2.3363071948403675
0xfdf0eade0c4ba947999e7885b60099985347ee7a,6340,2.365486209186579,4178.72434031,12375.29500077,4100.0,0.9811606763455089,False,2860.9211628869884,996.5527823157045,824.1717135874267,886.5585437978775,746.5639891350531,2.351279317052472,2.3051908984306793,2.348324857813447,2.2927986764507895
0x3500b8957e15f3f0a22ff53873ad7b78452da118,6341,2.3655984790473417,4.22175139,12.03249237,4.0,0.9474740766296047,False,2890.5043643068648,1016.2501813517941,841.0457277235125,904.4850890359764,762.0812247951379,2.3517644361047663,2.306858887005815,2.3489102490258955,2.294873206940736
0xc39aaab3018956b1d4d6ed05fd8a3322c57130d8,6342,2.365598586613546,107790.16848604,326908.03869794,14589.5,0.1353509341799526,True,inf,2293.8990237473076,1972.5526809623345,2092.8499275317645,1816.6432706890166,2.360805574847996,2.3450819634596085,2.360394272801827,2.343304651599959
0x3a90335994ec5e485aaa500ca2767d89c77d5f66,6343,2.3656618094521673,14920.35666454,48277.76218958,14777.0,0.9903918741513261,False,2853.238366824148,991.4052587219171,819.7619907309391,881.8737657457586,742.5088395442341,2.35135152336,2.3049352783394843,2.348369340553567,2.292430787022668
0x59735cffe035c60ad083b0ce7c1254894bd3efc3,6344,2.3667237950492135,9405.55312344,28362.64683348,8629.680475,0.9175090886992692,False,2918.9550419250418,1035.046129305845,857.1479672166168,921.5915098282863,776.8889970301138,2.353215686622127,2.309345085404948,2.350449564439696,2.2977170903351425
0x72526c31697741807739c45dd253dd91ee258c5c,6345,2.366915859939688,1400.56415449,4085.85125326,1385.0,0.9888872248799859,False,2856.283019337971,992.8635573912452,820.9925431852727,883.1880335802234,743.6332582275423,2.352614677030131,2.3062267211150536,2.349635398441348,2.293733753784527
0x3ba5cffc6d77a727058d3cece98a83816f4c84a5,6346,2.3670488993025787,6853.94524737,20352.65281326,6800.0,0.9921293145155048,False,2853.6930138794455,991.1006226754224,819.4814897223613,881.5830259761468,742.2433980469207,2.352710950484077,2.3062064129271462,2.3497218399861683,2.293673630463216
0xa8c160349118ea17b4b57129defd9c38f1cfbb62,6347,2.3671893566315,7993.42555715,23490.43056384,7277.562981,0.9104435800356367,False,2926.048368298323,1039.6904669981807,861.1260460394756,925.8179153279145,780.5470298820483,2.353757024636606,2.310127141947706,2.351011456012517,2.2985827062721853
0xdfe447d24d29a6795133925637d64404202bb801,6348,2.3672297444507104,5394.40771756,17750.28021486,5300.0,0.9824989651314858,False,2862.2136707522013,996.6399141565795,824.2212732766772,886.6205177281822,746.5999343966755,2.3529975338213434,2.306828073788103,2.350036906534631,2.294410558443502
0xb4469aaf48912981cbf766b656a4a79f2f1b9ac7,6349,2.3673120046604734,515568.39171102,1564758.00374486,513639.416987,0.996258547352722,True,2850.534752953354,988.9114472173934,817.6039272973278,879.5891537568731,740.5159780439056,2.352926656148167,2.306271798545457,2.3499249040422456,2.2936878188507026
0x82668085578f0ab33c2713a45edabc30eab4a5b4,6350,2.367770902034303,6179.41792513,18758.2640444,300.0,0.04854826192932868,False,inf,2974.739079920114,2616.264107363895,2754.2983201622255,2431.292989609867,2.36394483207509,2.35139972959332,2.3637970310597654,2.350759073082031
0x7536ffb51f80738247a1d5c86d2bdee55a49db05,6351,2.367808631187757,380150.78642708,1177168.42147566,377099.999558,0.9919747979538504,True,2854.887687805292,991.556211196682,819.8606917081817,881.9900008776084,742.5878541055861,2.353467794899276,2.3069537644593194,2.3504781857475727,2.2944188238914864
0xe5cd8717ea3b39f65d8d73a871871365a09d33cc,6352,2.368144290825595,9470.20953094,28162.71764098,9368.0,0.9892072577057486,False,2857.7278406801543,993.279550848713,821.3311727678912,883.5543777940319,743.937850736401,2.3538321340168316,2.3074088460801225,2.3508503547128656,2.294905531673779
0x807af2539414fc50e111bf625d6e34aa8c007e38,6353,2.368252032139479,230184.40661763,656788.78161328,54867.679295,0.23836401475336794,True,inf,1904.3615282214469,1619.2248983304119,1724.7461869516808,1484.3309642014774,2.3623017037453127,2.3427885214001902,2.361577357517734,2.339669939830041
0xdfcbbac92858f98c547d84a4fd248541d5b0ec9b,6354,2.368374704688225,2419.92527992,6905.16845807,2170.0,0.8967219021207704,False,2940.3404374984048,1048.980356123571,869.0817484599619,934.2707946774607,787.8621100561057,2.355088061014177,2.3119210753727497,2.3523821203178548,2.3005378221382147
0x8fdb5d711ac08bef754a5c6997412f11933708ad,6355,2.368496026393406,6017.71229177,17172.2019892,1651.852296,0.2744983834237343,False,inf,1807.423057410623,1532.5804438055375,1634.032240773297,1403.2877657128292,2.3621412379365796,2.3413074342969282,2.361307323683814,2.337721725307414
