rank_by_lowest_hf,address,hf,is_hf_below_1,total_debt_usd,collateral_usd,available_borrows_usd,liquidation_threshold,ltv,usdc_debt_events_usd,usdc_debt_share_of_total_debt,is_material_debt_ge_100k
5417,0xdb0e8ff7f3d4293984a3a2d0cdc6f79159ef1fdd,2.0782622801233535,False,231.22005238,578.95893165,0.0,0.83,0.0,230.0,0.9947234144813925,False
5418,0xeda70488ce495f01d2a15d50603af117bb536efe,2.078442392655276,False,85.40003169,238.98487466,0.0,0.7427,0.2659,79.269765,0.928217044318523,False
5419,0xd8049bd5490e05c9e3b159e53b60575cc6d56dab,2.078678805876921,False,2041.6034388,5440.81769005,1930.19347493,0.78,0.73,2000.0,0.9796221744099072,False
5420,0xb5f30e82c46e255b4ba39d380044b51ee8af8830,2.0787100486637926,False,43645.23701904,109308.18405758,0.0,0.83,0.0,40000.0,0.9164803019067169,False
5421,0x96011a7e21177d3a722f12fff6b77453b8ccfb10,2.0789956342562346,False,3029.96331017,8399.0406584,0.0,0.75,0.0,3002.65835,0.9909883528693726,False
5422,0xdaf1c2ebd8ed470fdf994ca545f3f92bb3065b8a,2.0790138121465134,False,4.09156824,10.24870721,0.0,0.8299,0.0,3.998884,0.9773475023356815,False
5423,0x5298d165d881a168782160a9ead7718aab325014,2.0794877903054196,False,21741.35644957,54470.94612236,0.0,0.83,0.0,20298.836495,0.933650876019811,False
5424,0x9fdb69c415e4794b54fd33707e31c1bfad53038e,2.0803195151827065,False,2103.78618758,5272.94874915,0.0,0.83,0.0,2000.0,0.9506669507611009,False
5425,0x41f7ec4a8ab34ba9e37e87efd2948bd85ea7610b,2.0807012398857645,False,14273.1832454,35781.00009135,0.0,0.83,0.0,12656.791882,0.8867532676061638,False
5426,0x7425d784b866486fd8be134df053f6cc4b6a0c30,2.0809243601811134,False,257057.52714373,660391.69160655,261349.95076741,0.81,0.785,253632.63523,0.9866765546537954,True
5427,0x98b2e9c9709339ef85300c0a4f2444f470c6a837,2.0815024200118493,False,10309.90850743,26805.32160946,1280.7125565,0.8005,0.4324,10094.0,0.9790581548541966,False
5428,0x667a1079928f4c17eb73ead7f8d83da9e914e8c5,2.0817233846360232,False,2217.85298958,6502.75553816,0.0,0.71,0.0,2200.0,0.9919503277882359,False
5429,0xc70cb399923e0ef6422373e651a4ecf7a362ded2,2.081843858166048,False,75330.18374673,188946.60285259,0.0,0.83,0.0,75000.0,0.9956168466568444,False
5430,0x5ac686b2375d238384f99d4b0fb5bbb1c1618c63,2.0818510227695963,False,2962.99473204,7431.94411248,0.0,0.83,0.0,2851.657592,0.9624241181274915,False
5431,0xe01ca47a9133b18a74509b289fbd22aef0853153,2.081895928545972,False,30130.34463454,75576.19496426,0.0,0.83,0.0,30000.0,0.9956739746550864,False
5432,0x1ec2947d7570213d8d42e3c96fdc2ebd1a501e69,2.082408023855551,False,426672.64690014,1128429.13853529,138670.35150604,0.7873,0.501,71345.377965,0.16721338591385715,True
5433,0xa58bcfe1efa614aed1e3e91f8b477f3778cc8528,2.082695270223593,False,5541.18334053,14795.63632662,5259.6311779,0.78,0.73,1658.942287,0.29938411798540604,False
5434,0x1c5daa0e35f0d8378f7c79f8c8f3fcb8ed3b5856,2.083041083806625,False,406.16268138,1191.62472116,380.30963458,0.71,0.66,395.929497,0.9748052077427913,False
5435,0x481c7823e54f000aa278bab4c001971177737aec,2.083217117106784,False,194153.46844957,518543.37028179,184383.19185613,0.78,0.73,173278.683826,0.8924830713029879,True
5436,0x1b5f8da4ecdeef7627ae7ce3e49bae2b422899e2,2.083263805560481,False,1900.78727122,4770.89316169,0.0,0.83,0.0,1700.0,0.8943662585181734,False
5437,0x5c826996f1f5b3fc1435486262bd670607426122,2.083378839357869,False,36408.7286608,96731.59860127,28343.40344289,0.7841,0.6694,35800.0,0.983280694405147,False
5438,0x6defd55b18324f9d41a5e0df2ee7133927df1456,2.0836860041067493,False,6270.37274844,16827.01132426,5952.7682775,0.7764,0.7264,6250.0,0.9967509509789401,False
5439,0xad4634313dfaa9b788a0b4633224334396a8e3d4,2.083961645718833,False,12080.98939362,31636.45994106,11927.92005565,0.7958,0.7589,11859.210185,0.9816422975474903,False
5440,0x0444e2cf425ee68914d72fe549d75819dac18f88,2.0841686782255455,False,2433.83870545,6111.48240693,0.0,0.83,0.0,2381.181409,0.9783645085715472,False
5441,0x3baaaa9bd6e4d3f729459bf26cfc346234801de9,2.0843136034326593,False,237099.87263921,608342.47192203,0.0,0.8123,0.2576,229187.030763,0.9666265452269946,True
5442,0x024c74838a4568cb504f4f0903175ac06bc35777,2.084331781383554,False,24041.18088627,63336.51594777,23784.22230589,0.7911,0.7551,7944.061186,0.330435564857668,False
5443,0x81194b11672c6041c31fbba3720da4d2fede0118,2.0844959705133372,False,8748.0724969,23378.61778147,8318.31848357,0.78,0.73,7997.649755,0.914218504457305,False
5444,0x1ee0277be57e65ec02c9aaeb2f67a8cdc402f8f4,2.084600090124216,False,8330.12432406,20921.66014058,0.0,0.83,0.0,5150.0,0.6182380718046658,False
5445,0x4cd753cb9fc1a17cd327cbc9a827a0a8fd9282cb,2.085046882665412,False,6399.98220903,16474.39871315,6530.77334092,0.8099,0.7849,6252.952492,0.9770265428515489,False
5446,0x931c3d91b4c3421b43f09d0bba0f9b5ff8afa764,2.085325922392579,False,17376.56936007,45421.66499542,17257.45019893,0.7977,0.7625,17000.0,0.9783289007014626,False
5447,0xb4405ce79306f4a3cd2601c46720d32f5e255b30,2.0861479833116885,False,331.27814806,881.89704647,281.90486835,0.7836,0.6953,149.928446,0.45257571885739195,False
5448,0xd439e8698205e27e2e869712ca7b0ca55cdc1fdd,2.0862539004101537,False,12277.03958412,31386.28578354,0.0,0.816,0.1374,6500.0,0.5294435971687803,False
5449,0x32cdbf7100ff5afe5952bd14e75f8f915e7b6ce4,2.0871869616067125,False,355.59937315,1045.35545802,0.0,0.71,0.0,275.629351,0.7751120272187126,False
5450,0x9df2fe758a0f0d6f20aa45574f81063cc01d012a,2.0877798281765028,False,62474.63554776,163329.33889078,62308.97936479,0.7985,0.764,12250.704265,0.19609084803119342,False
