symbol,total_supply_usd,total_debt_usd,total_activity_usd,supplier_users,borrower_users,active_users,debt_from_high_loopers_usd,debt_from_extreme_loopers_usd,debt_from_low_hf_users_usd,supply_from_high_loopers_usd,supply_from_extreme_loopers_usd,supply_from_low_hf_users_usd,equity_backed_supply_usd,debt_high_loop_share,debt_extreme_loop_share,debt_low_hf_share,supply_high_loop_share,supply_extreme_loop_share,supply_low_hf_share,equity_backing_ratio,synthetic_or_looped_supply_ratio,looping_activity_score,healthy_collateral_score
cbETH,72267126.16750695,38528.456877549725,72305654.6243845,447,44,481,691.4114348093137,290.44622527515816,691.4350509245023,817215.9827467116,780647.725898609,986781.7212326874,55081345.277280286,0.017945474354364672,0.007538485805394382,0.01794608730689645,0.011308267342089931,0.010802252245220832,0.013654641793080853,0.7621908909122527,0.23780910908774733,0.011311804013536837,0.7436624928871763
PT-sUSDE-5FEB2026,64157539.567632616,0.0,64157539.567632616,48,0,48,0.0,0.0,0.0,403.3006775210298,211.35419803424142,211.3541980370354,9315.345138232511,0.0,0.0,0.0,6.286099501928132e-06,3.2943002406044465e-06,3.294300240647995e-06,0.00014519486253696814,0.999854805137463,6.286099501928132e-06,0.00014519390590760268
XAUt,58511234.8524,0.0,58511234.8524,474,0,474,0.0,0.0,0.0,7.250100000000001,0.0,809.5790999999994,31839369.96188498,0.0,0.0,0.0,1.239095366605926e-07,0.0,1.3836301729782965e-05,0.5441582294785392,0.4558417705214608,1.239095366605926e-07,0.5441507003410874
PT-srUSDe-25JUN2026,38208042.80653521,0.0,38208042.80653521,13,0,13,0.0,0.0,0.0,37531661.62979782,731186.4329599227,738510.8687027667,8043847.5059076585,0.0,0.0,0.0,0.9822974136581081,0.01913697690986827,0.019328675704279985,0.21052759877383243,0.7894724012261676,0.9822974136581081,0.20250738985683173
sDAI,37126818.795106165,0.0,37126818.795106165,178,0,178,0.0,0.0,0.0,0.0,0.0,140.7817702853761,1954909.9331044487,0.0,0.0,0.0,0.0,0.0,3.7919157863299913e-06,0.05265492699207865,0.9473450730079214,0.0,0.05265472732902976
FBTC,27029130.300012935,78242.92973336006,27107373.229746293,32,11,39,85.8140920668948,0.0,85.8140920668948,2090.8034140208865,0.0,2090.8034140208865,11839963.593444176,0.0010967648113297407,0.0,0.0010967648113297407,7.735370656820156e-05,0.0,7.735370656820156e-05,0.43804456384741725,0.5619554361525827,8.02961425896947e-05,0.4380106794767616
ezETH,20536492.632949833,0.0,20536492.632949833,31,0,31,0.0,0.0,0.0,20046053.63958044,20046053.63958044,20055592.670366455,1895049.8630481355,0.0,0.0,0.0,0.9761186585199798,0.9761186585199798,0.9765831502399881,0.09227719148145178,0.9077228085185483,0.9761186585199798,5.160378489042614e-05
CRV,11369011.670607522,1646488.549674103,13015500.220281625,492,33,524,0.0,0.0,0.0,50.51022855868456,0.0,1596.5749693959272,3239924.219222895,0.0,0.0,0.0,4.442798549434989e-06,0.0,0.00014043216909729952,0.2849785287492597,0.7150214712507403,3.880775053115219e-06,0.2849385085963213
eBTC,12158537.914595377,0.0,12158537.914595377,275,0,275,0.0,0.0,0.0,2889.335753718288,0.0015679247875127827,2555.3677719483844,6328217.882038677,0.0,0.0,0.0,0.00023763842116656688,1.289566885859369e-10,0.0002101706463308277,0.5204752353029344,0.4795247646970656,0.00023763842116656688,0.5203658466192269
PT-srUSDe-2APR2026,11995192.358464738,0.0,11995192.358464738,49,0,49,0.0,0.0,0.0,952.454682965196,917.0581398925762,917.0581398926064,205.51157267473027,0.0,0.0,0.0,7.940303535800075e-05,7.645214119850515e-05,7.645214119850767e-05,1.7132828431025983e-05,0.9999828671715689,7.940303535800075e-05,1.7130208848329486e-05
LUSD,11416954.72237568,576241.6025636012,11993196.32493928,203,43,245,2000.0,0.0,2000.04,0.0,0.0,54739.21898709058,4724740.585996067,0.0034707664130849613,0.0,0.003470835828413223,0.0,0.0,0.004794555143484028,0.4138354491969928,0.5861645508030072,0.00016676121576039701,0.41185129231548934
PT-USDe-7MAY2026,11004978.006867148,0.0,11004978.006867148,6,0,6,0.0,0.0,0.0,10001006.91175464,10001006.91175464,10001006.91175464,1280156.6065402804,0.0,0.0,0.0,0.9087711856865115,0.9087711856865115,0.9087711856865115,0.11632523079477831,0.8836747692052217,0.9087711856865115,0.0009681395982984634
MKR,10308500.23383613,1982.1475454779152,10310482.381381607,237,10,246,0.0,0.0,0.0,2979.500139023504,0.0,3080.284293671794,395737.7629199503,0.0,0.0,0.0,0.00028903332894573107,0.0,0.0002988101298733268,0.03838946053675195,0.961610539463248,0.0002889777634850339,0.038377989377063194
UNI,4504749.436973445,15568.523179250591,4520317.960152696,648,90,733,0.0,0.0,9.759712845945883,28928.0612916961,297.59684917896107,55361.90704328957,2264318.453035565,0.0,0.0,0.0006268875174334729,0.006421680427831224,6.606290834655259e-05,0.01228967511242644,0.502651364901855,0.497348635098145,0.0063995633817579755,0.49644114441980514
crvUSD,4350779.976739725,74283.68354681006,4425063.6602865355,184,24,203,1000.0,0.0,1000.01,3217.5696202620343,2764.9189316203237,3886.375657864627,2478820.9686679,0.013461906467923704,0.0,0.013462041086988383,0.0007395385741094481,0.0006354995992447834,0.0008932595255660109,0.5697417433012586,0.4302582566987414,0.0009531093661122459,0.5688710688354578
1INCH,3427923.6031462997,86657.04171021635,3514580.6448565163,122,26,148,4.93900469991972,0.0,0.0,0.0,0.0,1137.3408910756223,1482667.5272671804,5.69948454556745e-05,0.0,0.0,0.0,0.0,0.00033178711743509117,0.4325264209232442,0.5674735790767558,1.4052899048277084e-06,0.43238291422883157
LDO,2343819.064730756,57245.099412664975,2401064.1641434208,312,33,344,0.0,0.0,0.004737052818763516,1783.060771846974,428.4127506066323,2291.8892034987866,950146.8395308484,0.0,0.0,8.275036408995185e-08,0.0007607501784920421,0.00018278405404806528,0.000977843912094838,0.40538403916430116,0.5946159608356989,0.0007426127125107798,0.4049136115674412
