rank_by_lowest_hf,address,hf,is_hf_below_1,total_debt_usd,collateral_usd,available_borrows_usd,liquidation_threshold,ltv,weth_debt_events_tokens,weth_debt_events_usd,weth_debt_share_of_total_debt,weth_share_for_model,is_material_debt_ge_100k,days_to_liq_post_change_flat_observed,hf_7d_post_change_flat_observed,hf_30d_post_change_flat_observed,days_to_liq_pre_change_regime_observed_peak,hf_7d_pre_change_regime_observed_peak,hf_30d_pre_change_regime_observed_peak,days_to_liq_hypothetical_re_steepen_12,hf_7d_hypothetical_re_steepen_12,hf_30d_hypothetical_re_steepen_12,days_to_liq_hypothetical_crisis_20,hf_7d_hypothetical_crisis_20,hf_30d_hypothetical_crisis_20
2150,0x5a48bd1a279eacf4b596eb1582d4fc139d111329,3.876168461709957,False,0.46922081,2.320783,1.2813458,0.7836,0.7543,0.0002,0.46643121345,0.9940548319883766,0.9940548319883766,False,inf,3.872512868939304,3.860525612355094,inf,3.8701949745142814,3.8506324592946233,inf,3.867751207964867,3.8402229981567024,2716.907948693359,3.8626673408646446,3.818636493049923
2151,0xe4217040c894e8873ee19d675b6d0eec992c2c0d,3.9021201586445615,False,1.64886081,7.9328433,0.60406668,0.811,0.284,0.0001,0.233215606725,0.14144044500942443,0.14144044500942443,False,inf,3.894063084193861,3.8677010575788473,inf,3.8937316462586344,3.8662944617419366,inf,3.8933818407575402,3.8648077463514756,inf,3.892652909943313,3.8617025464472197
2152,0xb9ff77a26279102c9566adf3da52d27bf5b11262,3.905767257481888,False,19302.85431641,93348.48144153,35698.07094893,0.8076,0.5892,2.4997,5829.690521304825,0.302011838547049,0.302011838547049,False,inf,3.8985269850168405,3.874821910808717,inf,3.8978183869046754,3.871811456224414,inf,3.8970706683950707,3.8686322310217833,3511.141756168832,3.8955130495053316,3.8620009519656033
2153,0x83faa27c9c1e19df9e5a19c80c57cc47063ea74c,3.9490150466928595,False,198.29911914,986.43012106,336.44464948,0.7938,0.5421,0.04790286185453261,111.71694991268681,0.563375926212835,0.563375926212835,False,inf,3.943051991964962,3.9235106243871916,inf,3.941714819454445,3.917819772156287,inf,3.940304280446808,3.9118182052336943,3166.085964550114,3.9373674028099677,3.8993274774034155
2154,0xb5167ce1df129b5d93e7f2009116aca58d49d695,3.9539041234406556,False,18550.59684305,94034.97608977,51975.63522427,0.78,0.75,7.998,18652.5842258655,1.0054977952288209,1.0,False,inf,3.9502061789252476,3.938080123504594,inf,3.9478276302044244,3.927927683704018,inf,3.945319934023037,3.9172457419387414,2752.097874394203,3.9401031322339812,3.8950952872959874
2155,0x57abe6c9d42fc4f14afb544d46bb3ca4ea400dde,3.969351293957411,False,1173.9121374,5614.05983335,0.0,0.8299,0.0,0.5,1166.078033625,0.9933264990407621,0.9933264990407621,False,inf,3.965604013295617,3.953316088615532,inf,3.963232139478374,3.943192592053146,inf,3.960731459956357,3.932540724873758,2765.09550134806,3.9555291870618396,3.910451398022436
2156,0x73eae712b784883d628ae5c371d54cb360fab8b1,4.030119139730254,False,6392.53209885,32906.95820491,18225.16333424,0.7828,0.7481,2.7495040668696196,6412.272591478533,1.0030880553000405,1.0,False,inf,4.026349914047503,4.0139901181307325,inf,4.023925516685984,4.003641981029305,inf,4.021369482431809,3.9927541353421767,2790.3201715824653,4.01605212215147,3.9701767109984094
2157,0xf1e6a7d2c87beda47a8d5d218f51da12ce44d1f7,4.044788116527829,False,12833.0846825,65827.64163283,36248.00491893,0.7885,0.7456,5.2,12127.2115497,0.9449958330156916,0.9449958330156916,False,inf,4.040712164144161,4.027346082562687,inf,4.038413036904444,4.017536254425706,inf,4.035988909394245,4.007211772798886,2841.7220167592695,4.03094541372597,3.9857926839410323
2158,0x56e9e53c80d2dd7d6984c3faf85d077bdec0dc6f,4.046929526991258,False,15670.69590262,83244.82232975,29314.80608437,0.7618,0.5404,6.55,15275.622240487499,0.9747890160981014,0.9747890160981014,False,inf,4.043010203804673,4.030157919962113,inf,4.0406371918880835,4.020030823237101,inf,4.038135255018316,4.0093741170994175,2818.6322595744077,4.032930177480294,3.987271320266724
2159,0xd51d040ae9de5be9682c11e31dea7c4ee8591520,4.050019616569077,False,4008.19186012,19558.13934995,0.0,0.83,0.0,1.7282594033200738,4030.570653234775,1.0055832639493723,1.0,False,inf,4.046231778685099,4.0338109508673226,inf,4.043795409800687,4.023411715310597,inf,4.041226754008858,4.01247010612085,2800.181385539243,4.035883136935249,3.9897811958644693
2160,0xec28e0c6449a4d74bcc6ebb3ef2a51e13afb82be,4.057590625551246,False,2087.6208034,10457.66740936,6121.64811294,0.81,0.785,0.8999999999999999,2098.9404605249997,1.0054222764529668,1.0,False,inf,4.053795706774492,4.0413516597607915,inf,4.051354783400854,4.030932984123952,inf,4.048781325825845,4.019970920953904,2803.920302885725,4.043427719523371,3.997239596595961
2161,0x1fb99c83110726b40ba6bace5044580675d22f04,4.070762806545557,False,0.49656404,2.43541497,0.0,0.83,0.0,0.0002,0.46643121345,0.939317340518657,0.939317340518657,False,inf,4.066630238179617,4.053078485744065,inf,4.064330277244301,4.043265473548423,inf,4.061905253657121,4.032937328895365,2859.38398094583,4.056859837564233,4.011509620458579
2162,0x08a2c6e400452d8a2587ba932f12b95a90fdb294,4.072583847778545,False,4.95900556,24.33248909,0.0,0.83,0.0,0.002,4.6643121345,0.9405740885073742,0.9405740885073742,False,inf,4.068456170849913,4.054920460927997,inf,4.066152096565901,4.0450898159971675,inf,4.063722739743831,4.034743182139071,2859.2510878543667,4.058668320517812,4.013277340533574
2163,0x1131842b273b5b5dc0c98ff6f2e4a5abb534bee0,4.096391665183028,False,15169.83527292,79668.70099255,44581.69047149,0.78,0.75,6.5,15159.014437124999,0.9992866873238685,0.9992866873238685,False,inf,4.092556608615468,4.079980934117886,inf,4.090094105077714,4.069470197356959,inf,4.087497893312099,4.0584112296314006,2823.5365299856257,4.082096943547552,4.035478823387119
2164,0x54f763a5c2721a6e2ae6b79156cf4e901f09108d,4.099701600014297,False,48.56978785,239.9055867,0.0,0.83,0.0,0.02,46.643121345,0.9603319966941136,0.9603319966941136,False,inf,4.095653111632775,4.082377158333798,inf,4.09328487808762,4.072271432299913,inf,4.09078793448798,4.061636396627814,2856.4437780923495,4.085593097991834,4.039575871890217
2165,0xd470055c6189b921c4d44b3d277ad868f79c0f75,4.1012083483411494,False,34.00514173,178.79765532,100.09309976,0.78,0.75,0.01,23.3215606725,0.685824539643817,0.685824539643817,False,inf,4.09567625656585,4.077541123298853,inf,4.093985296596889,4.070338700490501,inf,4.092201829278985,4.0627479684913625,3111.9988858059355,4.088489369478139,4.046966024303717
2166,0x606d72d864898d8eb21ac4ff0dc5e640423a01c1,4.104179082630848,False,2.41902008,11.96155616,0.0,0.83,0.0,0.001,2.33215606725,0.9640912394782601,0.9640912394782601,False,inf,4.100146491684673,4.086922693798595,inf,4.097766372848913,4.076765995168256,inf,4.095256909694255,4.066077530829884,2855.5817729099417,4.090036064968298,4.043906876516338
2167,0x7b6d2d901dfae9be92d17eaf29e729f93215eb85,4.109411638987942,False,192.45889,952.88289469,0.0,0.83,0.0,0.08,186.57248538,0.9694147429614709,0.9694147429614709,False,inf,4.105402717715764,4.092256577161814,inf,4.103006379185391,4.082030299542595,inf,4.1004798315573145,4.071268918069532,2853.824031679808,4.095223498011532,4.048948011030689
2168,0x40ef11bf557311f99f2a60131395342cf2b01e9d,4.117412534467022,False,0.47749266,2.36871598,0.0,0.83,0.0,0.0002,0.46643121345,0.9768343108143275,0.9768343108143275,False,inf,4.113436041730552,4.100396305911008,inf,4.111016624636096,4.09007102840949,inf,4.108465767872315,4.079205895595949,2851.737088277765,4.103158937699794,4.0566711928802865
2169,0xf80a062fc60c774c73d00ee8de85d3290ed80332,4.118476886050685,False,23.84959846,118.34219277,0.0,0.83,0.0,0.01,23.3215606725,0.9778596780828149,0.9778596780828149,False,inf,4.114504927105756,4.101480068382771,inf,4.112082339260247,4.091141188158892,inf,4.109528142731779,4.080261800750698,2851.4298200280177,4.104214375145127,4.057697727453542
2170,0x6f51406542067d95c6d8baa81ccf2387013d2d6b,4.120121155736733,False,57807.34595289,286955.74580421,0.0,0.83,0.0,9.899998920579101,23088.342548397002,0.39940153224146996,0.39940153224146996,False,inf,4.113011119392302,4.089723862970066,inf,4.112022394805514,4.085520570088941,inf,4.110979210282793,4.081083924818053,3484.3073553865147,4.108806502283865,4.07183746313368
2171,0x79682489385337996edd00eb56b4238b597bfae7,4.1231011394189725,False,4.74800414,23.58614612,0.0,0.83,0.0,0.002,4.6643121345,0.9823732239837517,0.9823732239837517,False,inf,4.119149230415156,4.106190165566834,inf,4.116712705516086,4.095791491832492,inf,4.114143829155202,4.084849447698885,2850.0516569009983,4.108799568778558,4.062156281901226
2172,0x048177a5ce6b11c44b9245fb571831efa6c61488,4.128620530184269,False,0.47244593,2.3500602,0.0,0.83,0.0,0.0002,0.46643121345,0.9872689843047224,0.9872689843047224,False,inf,4.124689952077659,4.111800890305433,inf,4.122237982177713,4.101335956800064,inf,4.11965283752274,4.090324477370085,2848.8092530261606,4.114274784332409,4.067488244218543
2173,0xee0b97f6f1ff5bba7f7a2383b9af7f3ba3d82ea4,4.133014596856481,False,0.48785641,2.42929839,0.0,0.83,0.0,0.0002,0.46643121345,0.9560829864877659,0.9560829864877659,False,inf,4.128910084293348,4.115450390598523,inf,4.126533191147346,4.1053080009069784,inf,4.124027104121942,4.09463414000062,2876.2770712083748,4.118813201549504,4.072492290224038
2174,0x043951150857e82d8f59bcabf1cf4ef99fb9ae03,4.133322007831986,False,47.00842671,234.0975478,0.0,0.83,0.0,0.02,46.643121345,0.9922289387123374,0.9922289387123374,False,inf,4.129413955014736,4.116598818755252,inf,4.126946835528019,4.106068877467182,inf,4.124345734440423,4.094989287498444,2847.1255214226585,4.118934538545315,4.072012758378067
2175,0xa3c39fd4559cd6cdb2443fb86be9b8366b0cd2c0,4.135058290364191,False,4.69204737,25.19725893,0.0,0.77,0.0,0.002,4.6643121345,0.9940888841665723,0.9940888841665723,False,inf,4.131158725500773,4.118371446977306,inf,4.12868593371004,4.107817164181701,inf,4.126078858279098,4.096712072000856,2846.4834537162037,4.120655253421828,4.073683016274101
